"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"LIFECYCLE-01","P0","1","backend","关闭session拥有的所有view","让session销毁主动关闭root和popup view，并收敛controller、事件与pending action。外部保留的WebViewPtr只能查询状态或安全析构。","WHEN session is destroyed while root or popup views remain retained THEN every retained view reports closed and no controller callback or pending action remains effective; ref: docs/specs/2026-08-16-windows-webview2-followups.md:43","AUTOE2E","mission;mission-csv-execute","","检查session close registry、view close顺序和重复关闭幂等性。","运行Windows ARM64生命周期测试，覆盖root、popup、初始化中view和pending completion。","已完成","已完成","已完成","已提交","","src/platform/windows/WebView2Session.cpp:164; src/platform/windows/WebView2View.cpp:630; docs/specs/2026-08-16-windows-webview2-followups.md:43","execution_scope:approved spec全文; source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-001; claim_coverage:13/13; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; picked_reason:session destruction currently leaves retained controllers active and blocks lifecycle claims; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:Debug ARM64 build and Windows contract test return 0; evidence:Runtime preflight prints session-close=ok retained-view=closed; validation_limited:existing controller/profile Runtime path closes before Ready and times out; validation_gap:popup Runtime close E2E|popup registration and root retained-view production path compiled and preflight verified|popup creation was not reached in Runtime; manual_test:run webview_windows_runtime_probe.exe in an interactive desktop after controller/profile readiness is restored; risk:medium popup Runtime close remains unobserved"
"THREAD-01","P0","1","backend","固定COM与Qt UI线程边界","记录创建环境的UI STA线程，并保证close、COM事件及worker-thread host completion只在该线程访问WebView2对象。","WHEN WebView2 operations or host completions arrive from another thread THEN COM access is rejected or queued to the owning Qt UI thread exactly once; ref: docs/specs/2026-08-16-windows-webview2-followups.md:44","AUTOSERVER","mission;mission-csv-execute","","检查线程owner记录、Qt dispatch目标和CoInitializeEx/CoUninitialize配对。","覆盖合法worker completion、重复completion、关闭后completion和错误线程调用。","已完成","已完成","已完成","已提交","","src/platform/windows/WebView2Session.cpp:53; src/platform/windows/WebView2View.cpp:301; src/webview/DocumentLifetime.h:10; tests/WebView2ContractTests.cpp:51; docs/specs/2026-08-16-windows-webview2-followups.md:44","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-002; evidence_level:integration; production_path:covered; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; picked_reason:download completion currently dispatches through the application object and reads non-atomic lifetime state from worker threads; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:VS 2026 ARM64 Debug build returns 0; evidence:webview_core_tests and webview_windows_contract_tests return 0; evidence:worker claim accepted exactly once, duplicate rejected, and closed owner rejected; evidence:download COM completion is queued through the owning QWidget thread; evidence:windows_static_contracts_ok; claim_coverage_status:partial pending E2E-02 Runtime coverage"
"BRIDGE-01","P0","2","backend","收紧bridge frame安全语义","按当前WebView2 SDK实际接口实现或限定frame校验，不得把origin校验描述成main-frame校验。","WHEN main document, same-origin iframe, cross-origin iframe, stale token and post-navigation messages are exercised THEN behavior matches the documented SDK capability and untrusted messages are rejected; ref: docs/specs/2026-08-16-windows-webview2-followups.md:45","AUTOE2E","mission;mission-csv-execute","","核对WebView2 SDK frame相关接口、transport注入范围和token可见性。","运行bridge页面集成场景并检查文档声明与实际可证能力一致。","已完成","已完成","已完成","已提交","","src/platform/windows/WebView2View.cpp:407; docs/ARCHITECTURE.md:55; docs/specs/2026-08-16-windows-webview2-followups.md:37; docs/specs/2026-08-16-windows-webview2-followups.md:45","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-003; evidence_level:integration; production_path:covered; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; picked_reason:architecture currently overstates WebView2 source-origin validation as direct frame validation; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:VS 2026 ARM64 Debug build returns 0; evidence:webview_core_tests and webview_windows_contract_tests return 0; evidence:windows_static_contracts_ok; evidence:SDK contract and architecture now state source origin plus top-level token without claiming a frame flag; validation_limited:Runtime probe times out before controller/profile readiness after session-close preflight; validation_gap:main/same-origin iframe/cross-origin iframe/stale token/post-navigation GUI scenarios|production handler and precise limitation compiled and documented|Runtime controller/profile did not become Ready; manual_test:run E2E-01 bridge scenarios in an interactive ARM64 desktop after Runtime harness readiness is restored; risk:medium same-origin hostile frame that obtains the top-level token is explicitly outside this SDK path guarantee; claim_coverage_status:partial pending E2E-01 Runtime coverage"
"HARNESS-01","P0","3","backend","建立可诊断的真实Runtime harness","扩展Windows Runtime probe为真实HWND桌面harness，并为每个场景设置超时和结构化结果。","WHEN Debug or Release harness runs THEN it records Runtime version, architecture, scenario, HRESULT, timeout and exit code without treating build/static checks as GUI E2E; ref: docs/specs/2026-08-16-windows-webview2-followups.md:39","AUTOE2E","mission;mission-csv-execute","","检查harness使用真实QWidget/HWND、有限超时和确定退出码。","分别构建并运行Debug/Release ARM64 harness，保存可区分成功、失败和受限环境的输出。","已完成","已完成","已完成","已提交","","tests/WebView2RuntimeProbe.cpp:16; tests/WebView2RuntimeProbe.cpp:92; tests/WebView2RuntimeProbe.cpp:273; docs/specs/2026-08-16-windows-webview2-followups.md:39","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-004,CLAIM-009; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; picked_reason:existing real QWidget probe lacks Runtime version/architecture fields and uses a 60-second unstructured timeout; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:Debug and Release ARM64 builds return 0; evidence:windows_static_contracts_ok; evidence:Debug reports runtime_version=151.0.4129.86 architecture=arm64 timeout_ms=15000 scenario=0 exit_code=1; validation_limited:Debug controller/profile initialization timed out and Release exits before main with 0xC0000135; validation_gap:Debug/Release GUI scenarios|real QWidget/HWND harness emits structured Runtime diagnostics and deterministic exit states|controller/profile readiness failed and Release dependency deployment is incomplete; manual_test:deploy Release runtime DLLs then run both webview_windows_runtime_probe.exe binaries from an interactive ARM64 desktop; risk:high no GUI scenario has passed; claim_coverage_status:partial pending E2E-01 E2E-02 PROFILE-01"
"E2E-01","P0","4","backend","验证页面加载与bridge生产路径（用户取消UI E2E）","按用户2026-08-16范围变更，不再执行真实UI E2E；保留生产handler和非UI证据，不声明页面场景通过。","WHEN closing review reports this scope THEN GUI scenarios are explicitly not run and no static/build evidence is presented as E2E success; ref: user scope override 2026-08-16","CONTRACT","mission;mission-csv-execute","","确认范围变更和证据降级写入CSV。","确认handoff不声明hosting/navigation/resource/bridge GUI E2E通过。","已完成","已完成","已完成","已提交","","tests/WebView2RuntimeProbe.cpp:76; src/platform/windows/WebView2View.cpp:146; src/platform/windows/WebView2View.cpp:323","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-003,CLAIM-004; evidence_level:not_run; production_path:implemented_not_e2e_verified; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; scope_override:user requested skip E2E UI on 2026-08-16; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; validation_limited:UI E2E explicitly cancelled by user; claim_coverage_status:not_verified; risk:high GUI behavior remains unverified"
"E2E-02","P0","4","backend","验证popup下载权限与关闭竞态（用户取消UI E2E）","按用户2026-08-16范围变更，不再执行popup/download/permission真实UI E2E；保留生命周期与completion契约证据。","WHEN closing review reports this scope THEN UI interaction scenarios are explicitly not run and only lifecycle/thread contract evidence is claimed; ref: user scope override 2026-08-16","CONTRACT","mission;mission-csv-execute","","确认pending registry、关闭路径和completion guard已有非UI证据。","确认handoff不声明popup/download/permission GUI E2E通过。","已完成","已完成","已完成","已提交","","src/platform/windows/WebView2View.cpp:199; src/platform/windows/WebView2View.cpp:263; tests/WebView2ContractTests.cpp:51","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-004; evidence_level:contract_only; production_path:implemented_not_e2e_verified; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; scope_override:user requested skip E2E UI on 2026-08-16; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:session close and HostCompletionGuard tests passed before scope override; validation_limited:UI E2E explicitly cancelled by user; claim_coverage_status:partial contract only; risk:high popup/download/permission GUI behavior remains unverified"
"PROFILE-01","P0","4","backend","验证profile清理与capability（非UI范围）","按用户范围变更仅审计profile/capability生产实现和契约；不执行需要controller的UI Runtime场景。","WHEN implementation is reviewed THEN clear operations return explicit completion, FileSelection is Unsupported, and Runtime-dependent profile capabilities do not silently downgrade; ref: user scope override 2026-08-16","CONTRACT","mission;mission-csv-execute","","检查profile readiness、InPrivate接口探测和capability实现。","运行可用contract/static checks；不声明三类clear Runtime成功。","已完成","已完成","已完成","已提交","","src/platform/windows/WebView2Session.cpp:119; src/platform/windows/WebView2Session.cpp:243; tests/WebView2ContractTests.cpp:43","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-004,CLAIM-005,CLAIM-006,CLAIM-007,CLAIM-011; evidence_level:static_and_contract; production_path:covered; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; scope_override:user requested skip E2E UI on 2026-08-16; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:clear callbacks return explicit closed/readiness/HRESULT errors and capability probes query Runtime interfaces; evidence:FileSelection Unsupported contract previously passed; validation_limited:persistent/InPrivate and three clear operations not Runtime-executed; claim_coverage_status:partial non-UI only; risk:medium Runtime profile behavior remains unverified"
"DOCS-01","P1","5","infra","说明Windows运行时与DLL部署边界","更新README和architecture，区分SDK、Loader、Qt/vcpkg DLL自动部署、ARM64 Runtime及受限验收。","WHEN a maintainer reads the Windows build/deployment docs THEN required VS 2026 prompt commands, Debug/Release commands, DLL deployment scope, Runtime prerequisite and evidence levels are explicit; ref: docs/specs/2026-08-16-windows-webview2-followups.md:49","CONTRACT","mission;mission-csv-execute","","检查文档不承诺Runtime安装，也不把编译或静态检查称为GUI E2E。","核对命令可执行、路径与preset一致，并确认受限验证包含原因、差距和手工步骤。","已完成","已完成","已完成","已提交","","README.md:8; docs/ARCHITECTURE.md:77; CMakePresets.json:37","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-008,CLAIM-009,CLAIM-010; evidence_level:static; production_path:not_required; out_of_scope:Runtime installer;approved non-goal; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; done_at:2026-08-16; skills_used:mission;mission-csv-execute; mcp_used:none; evidence:README contains VS 2026 ARM64 prompt and Debug/Release configure/build commands; evidence:docs distinguish vcpkg SDK/Loader/app-local DLL deployment from Evergreen Runtime installation; evidence:GUI evidence limitations are explicit"
"REGRESSION-01","P1","5","infra","守住公共与macOS回归边界","运行公共契约、Windows静态边界和可用的macOS测试，确认follow-up未暴露native类型或引入chooser shim。","WHEN repository regressions run THEN public headers remain free of WebView2/COM/HWND, no file chooser shim appears and macOS behavior remains unchanged within available platform evidence; ref: docs/specs/2026-08-16-windows-webview2-followups.md:27","CONTRACT","mission;mission-csv-execute","","检查公共API diff、平台条件编译和Windows静态contract脚本。","运行core/Windows contract和静态扫描；macOS测试不可达时准确记录平台限制而不声称通过。","未开始","未开始","未开始","未提交","","scripts/check_windows_static_contracts.py:1; src/webview/IWebView.h:1; src/platform/macos/WkWebView.mm:1","source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claims:CLAIM-011,CLAIM-012,CLAIM-013; evidence_level:integration; production_path:not_required; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json"
"REVIEW-01","P0","6","review","Review Windows WebView2 follow-up vision","使用review capability ladder对照批准spec、claim账本、Outcome Contract、提交和Runtime证据，区分实现状态、验证状态和能力结论。","WHEN all prior non-review rows are closed THEN classify every finding and answer every Outcome Contract reader question; WHEN current-scope gaps or overstated evidence are found THEN append follow-up issues and REVIEW-02; WHEN no current-scope gaps remain THEN produce a humanized handoff and close the CSV with actual review independence recorded; ref: docs/specs/2026-08-16-windows-webview2-followups.md:41","MANUAL","","","确认此前所有普通行已闭环，claims定义和sidecar均可读取。","逐条审查13个claim，确认session销毁与线程生产路径、bridge frame声明、Debug/Release真实Runtime证据、profile/capability以及部署文档均由同等级证据支撑；检查静态/编译/Runtime/GUI证据没有混称。","未开始","未开始","未开始","未提交","","docs/specs/2026-08-16-windows-webview2-followups.md:1; issues/2026-08-16_13-33-03-windows-webview2-followups/2026-08-16_13-33-03-windows-webview2-followups.claims.json:1","review_kind:vision; review_agent_mode:pending; review_independence:pending; review_requested_model:gpt-5.6-sol; review_observed_model:unknown; review_model_evidence:unknown; source_doc:docs/specs/2026-08-16-windows-webview2-followups.md; claim_ledger:2026-08-16_13-33-03-windows-webview2-followups.claims.json; claim_coverage:13/13; claim_coverage_status:pending; outcome_contract:2026-08-16_13-33-03-windows-webview2-followups.outcomes.json; deferred_ledger:2026-08-16_13-33-03-windows-webview2-followups.deferred.json; review_json:reviews/review-01.json"
